GenreIds,Id,OriginalLanguage,OriginalTitle,Overview,Popularity,ReleaseDate,Title,VoteAverage,VoteCount
"[10770, 35, 10751]",1146147,en,A Really Haunted Loud House,"Lincoln and his best friend, Clyde, struggle to decide whether to participate in the Loud family Spooktacular, attend their friend, Xander's, party, or go trick-or-treating on Halloween.",398.422,2023-09-28,A Really Haunted Loud House,7.8,5
"[35, 10749]",884605,en,No Hard Feelings,"On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",396.048,2023-06-15,No Hard Feelings,7.1,1531
"[27, 35, 53]",1161048,sv,Konferensen,"A team-building conference for municipal employees turns into a nightmare when accusations of corruption begin to circulate and plague the work environment. At the same time, a mysterious figure begins murdering the participants.",384.892,2023-10-13,The Conference,5.6,111
"[28, 53]",717930,en,Kandahar,"After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.",369.895,2023-05-25,Kandahar,6.9,657
"[27, 53]",467405,en,Don't Sleep,"After moving into a cottage together, two young lovers confront horrors of a forgotten childhood.",368.142,2017-09-29,Don't Sleep,4.6,37
"[878, 12, 28]",447365,en,Guardians of the Galaxy Vol. 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",363.573,2023-05-03,Guardians of the Galaxy Vol. 3,8,5114
"[35, 10749]",1181678,es,¿Quieres ser mi hijo?,"Lu, a conformist woman in her forties, learns that her 15-year partner has been having extramarital affairs. Starting from scratch, she gets involved in an unexpected relationship with a young womanizer.",361.14,2023-09-21,¿Quieres ser mi hijo?,8.8,147
"[28, 12, 18, 14]",734253,hi,आदिपुरुष,"7000 years ago, Ayodhya's Prince Raghava and Prince Sesh along with the Mighty Vanar Warriors travels to the island of Lanka with an aim to rescue Raghava's wife Janaki, who has been abducted by Lankesh, the king of Lanka.",359.792,2023-06-16,Adipurush,5.5,58
"[9648, 53, 28]",1172009,en,The Black Book,"After his son is wrongly accused of kidnapping, a deacon who has just lost his wife takes matters into his own hands and fights a crooked police gang to clear him.",356.681,2023-09-22,The Black Book,7.3,40
"[12, 10751, 14, 10749]",447277,en,The Little Mermaid,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",355.064,2023-05-18,The Little Mermaid,6.5,2252
"[53, 28]",724209,en,Heart of Stone,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,354.284,2023-08-09,Heart of Stone,6.9,1241
"[878, 12, 28]",76600,en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",353.479,2022-12-14,Avatar: The Way of Water,7.7,9977
"[18, 10749]",1017066,pl,Heaven in Hell,"Olga and Maks are 15 years away. She is a successful woman with an established position, the mother of an adult daughter, he is a handsome young man who enjoys his life in a handful and lives only in the moment. It might seem that these two different worlds will never meet, and yet fate put them in the way.",347.013,2023-02-10,Heaven in Hell,7.4,50
"[80, 18, 28]",957992,zh,军火大劫案,The Great Arms Robbery,342.084,2022-04-09,The Great Arms Robbery,7.7,11
"[35, 12]",912908,en,Strays,"When Reggie is abandoned on the mean city streets by his lowlife owner, Doug, Reggie is certain that his beloved owner would never leave him on purpose. But once Reggie falls in with Bug, a fast-talking, foul-mouthed stray who loves his freedom and believes that owners are for suckers, Reggie finally realizes he was in a toxic relationship and begins to see Doug for the heartless sleazeball that he is.",330.248,2023-08-17,Strays,7.5,456
"[16, 35, 28]",614930,en,Teenage Mutant Ninja Turtles: Mutant Mayhem,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",323.721,2023-07-31,Teenage Mutant Ninja Turtles: Mutant Mayhem,7.3,757
"[10751, 16, 14, 35]",1139087,en,Once Upon a Studio,"Created for Disney's 100th anniversary, the short sees Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",314.227,2023-09-24,Once Upon a Studio,9,120
"[18, 28, 10752]",517093,ru,Балканский рубеж,"After the NATO bombing of Yugoslavia in 1999, the Yugoslav army pulls out of Kosovo region, leaving Serbian people at the mercy of the Albanian UCK. A small band of soldiers must take over the Slatina airport, and hold it until the Russian peacekeepers arrive.",309.92,2019-03-21,Balkan Line,7.7,324
"[12, 14, 16, 35, 10751, 28]",315162,en,Puss in Boots: The Last Wish,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",309.382,2022-12-07,Puss in Boots: The Last Wish,8.3,6498
"[16, 10751, 14, 35]",1040148,en,"Ruby Gillman, Teenage Kraken","Ruby Gillman, a sweet and awkward high school student, discovers she's a direct descendant of the warrior kraken queens. The kraken are sworn to protect the oceans of the world against the vain, power-hungry mermaids. Destined to inherit the throne from her commanding grandmother, Ruby must use her newfound powers to protect those she loves most.",305.499,2023-06-28,"Ruby Gillman, Teenage Kraken",7.4,707
[35],928217,fr,Jumeaux mais pas trop,"Grégoire Beaulieu learns that he has a twin brother: Anthony Girard. Gregoire is bourgeois, ambitious and promised to a great career, Anthony has no prospect and lives of shenanigans. The two brothers couldn’t be more opposite. Especially when one is white and the other is black !",304.269,2022-09-28,Two Of A Kind,5.8,117
"[10752, 28, 53]",882569,en,Guy Ritchie's The Covenant,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",302.238,2023-04-19,Guy Ritchie's The Covenant,7.8,1741
"[16, 10751, 28, 14, 10749]",496450,fr,Miraculous - le film,"A life of an ordinary Parisian teenager Marinette goes superhuman when she becomes Ladybug. Bestowed with magical powers of creation, Ladybug must unite with her opposite, Cat Noir, to save Paris as a new villain unleashes chaos unto the city.",300.097,2023-07-05,"Miraculous: Ladybug & Cat Noir, The Movie",7.8,611
"[16, 12, 28]",1147400,fr,"Miraculous World : Paris, Les Aventures de Toxinelle et Griffe Noire","Miraculous holders from another world appear in Paris. They come from a parallel universe where everything is reversed: the holders of Ladybug and Black Cat Miraculouses, Shadybug and Claw Noir, are the bad guys, and the holder of the Butterfly Miraculous, Hesperia, is a superhero. Ladybug and Cat Noir will have to help Hesperia counter the attacks of their evil doubles and prevent them from seizing the Butterfly's Miraculous. Can our heroes also help Hesperia make Shadybug and Claw Noir better people?",300.058,2023-10-21,"Miraculous World: Paris, Tales of Shadybug and Claw Noir",9,3
"[16, 28, 14, 12]",1150537,en,"Justice League x RWBY: Super Heroes & Huntsmen, Part Two","On the heels of successfully escaping a deadly digital trap, the members of the Justice League emerge in their own world to discover that Grimm, ravenous creatures from Remnant, have overtaken Earth! In order to defeat the monsters, they must call on their new friends – Team RWBY – for help!",296.272,2023-10-17,"Justice League x RWBY: Super Heroes & Huntsmen, Part Two",7.5,2
"[16, 12, 10751, 14]",459003,uk,Мавка: Лісова пісня,"Mavka — a Soul of the Forest and its Warden — faces an impossible choice between love and her duty as guardian to the Heart of the Forest, when she falls in love with a human — the talented young musician Lukas.",293.328,2023-03-02,Mavka: The Forest Song,7.3,420
"[28, 9648, 53, 27]",1006462,en,The Flood,A horde of giant hungry alligators is unleashed on a group of in-transit prisoners and their guards after a massive hurricane floods Louisiana.,293.229,2023-07-14,The Flood,6.8,210
"[53, 28, 80]",156022,en,The Equalizer,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",290.349,2014-09-24,The Equalizer,7.3,8242
"[35, 18, 10749]",1018754,en,Shortcomings,"When his girlfriend leaves for New York City on a 3-month-long internship, a strongly opinionated Berkeley arthouse movie theater manager begins exploring life as a bachelor.",289.87,2023-08-04,Shortcomings,5.9,23
"[28, 18, 10752]",1076487,en,Warhorse One,A gunned down Navy SEAL Master Chief must guide a child to safety through a gauntlet of hostile Taliban insurgents and survive the brutal Afghanistan wilderness.,289.708,2023-06-30,Warhorse One,7.3,182
"[27, 14, 878]",830764,en,Pet Sematary: Bloodlines,"In 1969, a young Jud Crandall has dreams of leaving his hometown of Ludlow, Maine behind, but soon discovers sinister secrets buried within and is forced to confront a dark family history that will forever keep him connected to Ludlow.",282.472,2023-09-23,Pet Sematary: Bloodlines,6.3,133
"[27, 9648, 80]",176,en,Saw,"Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying...",273.865,2004-10-01,Saw,7.4,8446
"[27, 9648, 53]",439079,en,The Nun,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,270.806,2018-09-05,The Nun,5.9,6187
"[16, 35, 10751, 14]",923579,ru,Коты Эрмитажа,A cartoon about the famous four-legged inhabitants of the St. Petersburg Winter Palace - museum cats that protect the territory of the State Hermitage from rats and mice.,269.523,2023-03-23,Cats in the Museum,7.3,32
[35],1180731,en,Make Me Scream,"In this hilariously horrifying Halloween special hosted by Tempestt Bledsoe and Darryl M. Bell, three celebrity teams led by Jaleel White, Shoniqua Shandai, and Lil’ Xan, embark on a gruesome game of terror. A game where they must face a series of bone-chilling scare zones while trying NOT to scream! The team with the lowest score survives the night and takes home the prestigious Medal of Mayhem.",263.544,2023-10-02,Make Me Scream,6.2,5
"[28, 10752]",840326,fi,Sisu,"Deep in the wilderness of Lapland, Aatami Korpi is searching for gold but after he stumbles upon Nazi patrol, a breathtaking and gold-hungry chase through the destroyed and mined Lapland wilderness begins.",261.626,2023-01-27,Sisu,7.5,1390
"[16, 10751, 14]",947507,no,Helt Super,"Eleven year old gaming enthusiast Hedvig finds her life turned upside down when she must step into the shoes of her father, who is the town’s secret superhero, sooner than expected. Little does she know, this will lead her on a journey of self-discovery through which she will uncover her inner hero, despite a lack of super strength, speed or coordination.",258.269,2022-09-30,Just Super,5.5,11
"[16, 28, 27]",1083862,ja,バイオハザード：デスアイランド,"In San Francisco, Jill Valentine is dealing with a zombie outbreak and a new T-Virus, Leon Kennedy is on the trail of a kidnapped DARPA scientist, and Claire Redfield is investigating a monstrous fish that is killing whales in the bay. Joined by Chris Redfield and Rebecca Chambers, they discover the trail of clues from their separate cases all converge on the same location, Alcatraz Island, where a new evil has taken residence and awaits their arrival.",257.421,2023-06-22,Resident Evil: Death Island,7.6,707
"[16, 35, 10751, 14]",568124,en,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",255.232,2021-10-13,Encanto,7.6,8661
"[53, 9648]",852436,fr,Seule : Les dossiers Silvercloud,"Alone in the mountains of Switzerland, Anne discovers that her isolated chalet is on surveillance and has been bugged. Caught up by her former life as an intelligence secret agent and an affair with her handler, Anne can only count on herself to get out alive.",254.693,2023-03-08,Let Her Kill You,6.6,78
